French,English,Example
"être","to be","Être libre, c'est se connaître soi-même."
"je","I","Je t'aime plus que tout au monde."
"de","of, from","Le plus grand cadeau de la vie, c'est l'amour."
"ne","not","Ne doute jamais de ta valeur."
"avoir","to have","Avoir la paix intérieure est un trésor inestimable."
"pas","not","Rien n'est impossible, pas même tes rêves les plus fous."
"la","the (fem. sing.)","La vie est trop courte pour ne pas aimer intensément."
"tu","you (sing. informal)","Tu es la raison pour laquelle je me lève chaque matin."
"le","the (masc. sing.)","Le bonheur se trouve dans les petits gestes du quotidien."
"vous","you (plur. or formal)","Je vous promets un amour éternel."
"il","he/it","Il n'y a pas de hasard, seulement des rencontres."
"et","and","L'amour et la confiance sont la base de toute relation."
"à","to, at","Je reviendrai à toi, quoi qu'il arrive."
"un","a, one (masc. sing.)","Un sourire peut changer le cours d'une journée."
"aller","to go","Aller vers l'inconnu est la clé de la croissance."
"ça","that, it","Ton sourire, ça vaut tous les trésors du monde."
"faire","to do, to make","Faire de chaque instant un souvenir inoubliable."
"les","the (plur.)","Les moments passés ensemble sont ma plus grande richesse."
"on","one, we","On dit que l'amour guérit toutes les blessures."
"l'","the (elided)","L'amour ne connaît aucune frontière."
"une","a, one (fem. sing.)","Une seule parole peut changer une vie."
"d'","of, from (elided de)","Derrière chaque sourire se cache une histoire."
"pour","for, in order to","Je donnerais tout pour être à tes côtés."
"des","some (plur. indéfini)","Des souvenirs gravés à jamais dans mon cœur."
"dire","to say","Les mots ne suffisent pas pour dire l'intensité de mon amour."
"en","in, by, while","En ton absence, chaque seconde est une éternité."
"pouvoir","can, to be able to","Pouvoir t'aimer librement est mon plus grand privilège."
"qui","who, which","Tu es celle qui illumine mes nuits."
"vouloir","to want","Vouloir te rendre heureux est ma seule ambition."
"ce","this, that","Ce regard suffit à éveiller mon âme."
"mais","but","Je t'aime, mais je t'admire encore plus."
"me","me (object pronoun)","Tu me fais découvrir la beauté du monde."
"nous","us, we","Nous sommes plus forts ensemble."
"dans","in, inside","Dans tes yeux, je trouve ma vérité."
"elle","she, it","Elle a changé ma vie pour toujours."
"savoir","to know (facts)","Savoir que tu existes rend tout possible."
"du","of the, some","Le son de ta voix est la musique du paradis."
"y","there, to it","J'y crois, à notre amour éternel."
"t'","you (elided)","Je t'ai attendu toute ma vie."
"bien","well, good","Tu sais si bien toucher mon cœur."
"voir","to see","Te voir sourire est mon bonheur quotidien."
"que","that, than","Rien n'est plus beau que ton sourire."
"plus","more, no more","Plus je te connais, plus je t'aime."
"non","no","Non, je ne te laisserai jamais partir."
"te","you (object pronoun)","Je veux te protéger de tous les dangers."
"mon","my (masc. sing.)","Mon cœur bat pour toi chaque seconde."
"au","to the (masc. sing.)","Je reviendrai au creux de tes bras."
