Kanji,Kana,English,Romaji
行く,いく,to go; to proceed,iku  
見る,みる,to see; to watch,miru  
多い,おおい,many; abundant,ooi  
家,いえ,house; home,ie  
これ,これ,this (near speaker); this one,kore  
それ,それ,that (near listener); that one,sore  
私,わたし,I; me,watashi  
仕事,しごと,work; job; occupation,shigoto  
いつ,いつ,when; at what time,itsu  
する,する,to do; to make,suru  
出る,でる,to exit; to leave,deru  
使う,つかう,to use; to utilize,tsukau  
所,ところ,place; location,tokoro  
作る,つくる,to make; to produce,tsukuru  
思う,おもう,to think; to feel,omou  
持つ,もつ,to have; to hold,motsu  
買う,かう,to buy; to purchase,kau  
時間,じかん,time; hour,jikan  
知る,しる,to know; to understand,shiru  
同じ,おなじ,same; identical,onaji  
今,いま,now; at present,ima  
新しい,あたらしい,new; fresh,atarashii  
なる,なる,to become; to turn into,naru  
まだ,まだ,still; not yet,mada  
あと,あと,after; later; behind,ato  
聞く,きく,to listen; to hear,kiku  
言う,いう,to say; to tell,iu  
少ない,すくない,few; scarce,sukunai  
高い,たかい,high; expensive,takai  
子供,こども,child; kid,kodomo  
そう,そう,so; that way,sou  
もう,もう,already; anymore,mou  
学生,がくせい,student,gakusei  
熱い,あつい,hot (to touch); passionate,atsui  
どうぞ,どうぞ,please; kindly,douzo  
午後,ごご,afternoon; p.m.,gogo  
長い,ながい,long; lengthy,nagai  
本,ほん,book; origin,hon  
今年,ことし,this year,kotoshi  
よく,よく,frequently; often,yoku  
彼女,かのじょ,she; her, kanojo  
どう,どう,how; in what way,dou  
言葉,ことば,word; language; phrase,kotoba  
顔,かお,face; expression,kao  
終わる,おわる,to end; to finish,owaru  
一つ,ひとつ,one (thing),hitotsu  
あげる,あげる,to give; to raise,ageru  
こう,こう,this way; like this,kou  
学校,がっこう,school,gakkou  
くれる,くれる,to give (to me),kureru  
始める,はじめる,to start; to begin,hajimeru  
起きる,おきる,to get up; to occur,okiru  
春,はる,spring (season),haru  
午前,ごぜん,morning; a.m.,gozen  
別,べつ,distinction; different,betsu  
どこ,どこ,where,doko  
部屋,へや,room; chamber,heya  
若い,わかい,young; youthful,wakai  
車,くるま,car; vehicle,kuruma  
置く,おく,to put; to place,oku  
住む,すむ,to live; to reside,sumu  
働く,はたらく,to work,hataraku  
難しい,むずかしい,difficult; hard,muzukashii  
先生,せんせい,teacher; instructor,sensei  
